playlist_id,playlist,playlist_owner,track_id,track_name_x,track_duration,explicit_x,artist,album,added_at,artists,album_name,track_name_y,popularity,duration_ms,explicit_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,0VqSdtXseb9khdZrnYVyM1,不為誰而作的歌,265800,False,['JJ Lin'],"""和自己對話"" 實驗專輯",2025-04-08T20:25:19Z,JJ Lin,"""和自己對話"" 實驗專輯",不為誰而作的歌,58,265800,False,0.402,0.641,2,-5.905,1,0.0335,0.534,0.0,0.112,0.252,145.054,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,2gug6MRv4xQFYi9LA3PJCS,你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲,287306,False,['Eric Chou'],愛，教會我們的事,2025-04-08T20:25:45Z,Eric Chou,"愛,教會我們的事","你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",65,287306,False,0.439,0.477,10,-5.638,1,0.0307,0.643,0.0,0.114,0.535,159.819,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,632VyMrvhsHIsO4zq9khts,她說,318499,False,['JJ Lin'],她說,2025-04-08T20:31:34Z,JJ Lin,她說,她說,60,318499,False,0.335,0.326,0,-7.223,1,0.0331,0.948,0.0,0.0619,0.326,169.267,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,1ivCIgrYZyE0BvItL4Z8lk,告白氣球,215146,False,['Jay Chou'],周杰倫的床邊故事,2025-04-08T20:42:11Z,Jay Chou,周杰倫的床邊故事,告白氣球,63,215146,False,0.59,0.572,11,-7.658,1,0.0379,0.192,0.0,0.109,0.448,179.989,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,5kZDxLcbqglZ2yYXg4Mkjc,那些你很冒險的夢,244470,False,['JJ Lin'],學不會,2025-04-08T20:47:21Z,JJ Lin,學不會,那些你很冒險的夢,62,244470,False,0.426,0.487,2,-5.276,1,0.0361,0.785,0.0,0.259,0.28,135.103,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,21NmnwPP8SHKyVtjvubGSs,永不失聯的愛 [原創概念版],253417,False,['Eric Chou'],永不失聯的愛 [原創概念版],2025-04-08T21:29:38Z,Eric Chou,永不失聯的愛 [原創概念版],永不失聯的愛 [原創概念版],52,253417,False,0.583,0.227,10,-14.525,1,0.0332,0.936,0.000189,0.105,0.368,84.765,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,76WthWB0v0KXUHZoAclMVV,等你下課,270000,False,"['Jay Chou', 'Gary Yang']",等你下課,2025-04-08T21:33:38Z,Jay Chou;Gary Yang,等你下課,等你下課,55,270000,False,0.589,0.465,8,-8.416,1,0.0325,0.477,0.0,0.101,0.416,147.921,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,7zyYmIdjqqiX6kLryb7QBx,以後別做朋友,260573,False,['Eric Chou'],學著愛,2025-04-09T01:56:42Z,Eric Chou,學著愛,以後別做朋友,61,260573,False,0.423,0.36,3,-9.458,1,0.0372,0.728,0.0,0.105,0.291,130.576,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,2IAumRplFr0Ns09kKgt2je,怎麼了,321039,False,['Eric Chou'],終於了解自由,2025-04-09T18:05:39Z,Eric Chou,終於了解自由,怎麼了,57,321039,False,0.496,0.515,9,-9.52,1,0.0352,0.701,0.000168,0.155,0.263,140.051,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,32nainF4TXsMpuFOGCkzzM,夜曲,226773,False,['Jay Chou'],11月的蕭邦,2025-04-09T18:31:12Z,Jay Chou,11月的蕭邦,夜曲,59,226773,False,0.674,0.649,1,-5.869,1,0.0451,0.285,0.0585,0.226,0.6,86.985,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,749ROZZstvy0OzCMgNjnXf,丑八怪,253127,False,['Joker Xue'],意外,2025-04-09T18:41:29Z,Joker Xue,意外,丑八怪,50,253127,False,0.569,0.399,1,-10.902,1,0.0395,0.784,0.0,0.114,0.287,124.026,4,mandopop
1jvHrIadN74e2I1reedjxW,OldChinese,chrishui,0nt1LAZjaTjrf30S8hdRDU,聽見下雨的聲音,279293,False,['Jay Chou'],哎呦 不錯哦,2025-04-09T18:44:07Z,Jay Chou,哎呦 不錯哦,聽見下雨的聲音,54,279293,False,0.367,0.726,4,-6.773,1,0.0341,0.0294,0.0,0.337,0.271,172.121,4,mandopop
